543462,1715,1464116,pv,1511658000
662867,2244074,1575622,pv,1511658000
561558,3611281,965809,pv,1511658000
894923,3076029,1879194,pv,1511658000
834377,4541270,3738615,pv,1511658000
315321,942195,4339722,pv,1511658000
625915,1162383,570735,pv,1511658000
578814,176722,982926,pv,1511658000
651383,4501186,4874384,cart,1511686679
880462,46206,1611144,buy,1511686680
646917,2073375,4222240,buy,1511686686
252537,3805780,3607361,pv,1511686688
300610,362261,1354236,pv,1511686688
960932,4129781,2878148,pv,1511686688
581038,4614006,2465336,pv,1511686688
303679,717196,2520377,pv,1511686688
750426,4929932,4818107,pv,1511686688
586536,2922853,1080785,pv,1511686688
593300,3119486,235534,pv,1511686688
112538,4713533,3702593,pv,1511686688
242357,5118615,2533863,pv,1511686688
165176,2214378,4358294,pv,1511686688
692231,2842422,3607361,pv,1511686688
442056,698930,3002561,pv,1511686688
770124,2913599,4731191,pv,1511686689
601094,4142819,2558244,pv,1511686689
121170,1860495,4145813,pv,1511686689
799503,225177,2355072,buy,1511686689
252942,231511,223690,pv,1511686689
940504,1490926,2465336,pv,1511686689
451917,3587311,4022701,pv,1511686689
808050,18941,4756105,pv,1511686689
709717,2995399,4170419,pv,1511686689
749666,465433,1320293,cart,1511686689
59797,3125572,1349561,pv,1511686689
912867,4416905,2520377,pv,1511686689
334470,2875108,2640118,pv,1511686689
590412,580918,1737857,pv,1511686689
883430,521731,3604509,cart,1511686689
1007031,2010906,4145813,pv,1511686689
88596,5102361,1521931,buy,1511686689
650415,4400382,5156420,cart,1511686690
46514,3204000,4756105,pv,1511686690
194577,930805,982926,pv,1511686690
892527,396914,4145813,pv,1511686690
66280,3610349,1575622,pv,1511686690
574613,3656504,2465336,pv,1511686690
863569,3742105,3738615,pv,1511686690
488163,3530377,2920476,pv,1511686690
128129,345598,1792277,pv,1511686691
581393,1110441,3002561,pv,1511686691
957412,1987732,1320293,pv,1511686691
42059,3276081,1691286,pv,1511686691
647701,2944580,4756105,pv,1511686691
792831,1990333,2644878,pv,1511686691
390489,3769954,1320293,pv,1511686691
351522,3148306,4161881,pv,1511686691
938539,3613870,58498,pv,1511686691
506331,4138954,3470850,pv,1511686691
833888,2403251,804084,pv,1511686691
285602,4057049,4217906,pv,1511686691
435302,3144641,2096639,pv,1511686691
311787,4038053,4285553,pv,1511686691
10359,1438272,1269883,pv,1511686692
311804,2894130,4145813,pv,1511686692
946732,2632945,245312,pv,1511686692
520346,2173276,3607361,pv,1511686692
661894,5071119,237446,pv,1511686692
748065,4063150,1029459,pv,1511686692
598436,1454189,1320293,pv,1511686693
662836,872679,3758209,pv,1511686693
351072,4134344,1265358,buy,1511686693
215963,243724,4145813,pv,1511686693
205018,3980543,2520377,pv,1511686693
852884,2891389,965809,cart,1511686693
232556,4016372,1879194,pv,1511686693
930971,4161821,5064,pv,1511686693
456493,3938687,2520377,pv,1511686693
288986,3675318,4756105,pv,1511686693
315842,5030614,4069500,pv,1511686693
687413,2336255,149192,pv,1511686693
646122,2724702,4756105,pv,1511686693
215692,3525666,4181361,pv,1511686694
100903,762869,2558244,cart,1511686694
327347,3496000,4708262,pv,1511686694
606454,2407346,3010483,pv,1511686694
585424,2157985,4801426,pv,1511686694
484802,1031798,3299155,pv,1511686694
273821,1852106,982926,pv,1511686694
513230,1455684,3720767,pv,1511686694
247793,2245336,2640118,cart,1511686694
